19.70,61.70,19.34
19.70,61.60,19.33
19.70,61.60,19.33
19.60,61.50,19.22
19.70,61.50,19.33
19.70,61.40,19.33
19.60,61.30,19.22
19.60,61.30,19.22
19.60,61.40,19.22
19.60,61.40,19.22
19.60,61.30,19.22
19.60,61.30,19.22
19.60,61.30,19.22
19.60,61.30,19.22
19.60,61.30,19.22
19.60,61.30,19.22
19.60,61.20,19.21
19.60,61.20,19.21
19.60,61.20,19.21
19.60,61.10,19.21
19.60,61.00,19.21
19.60,61.10,19.21
19.60,61.10,19.21
19.60,61.00,19.21
19.50,61.00,19.10
19.60,61.00,19.21
19.60,61.00,19.21
19.50,61.00,19.10
19.60,61.00,19.21
19.50,60.90,19.10
19.50,61.00,19.10
19.50,60.90,19.10
19.50,60.90,19.10
19.50,60.80,19.09
19.50,60.80,19.09
19.50,60.80,19.09
19.50,60.80,19.09
19.50,60.70,19.09
19.50,60.60,19.09
19.50,60.60,19.09
19.50,60.70,19.09
19.50,60.80,19.09
19.50,60.80,19.09
19.50,60.70,19.09
19.50,60.60,19.09
19.50,60.60,19.09
19.50,60.60,19.09
19.50,60.70,19.09
19.50,60.60,19.09
19.50,60.60,19.09
19.50,60.60,19.09
19.50,60.50,19.09
19.50,60.50,19.09
19.50,60.60,19.09
19.50,60.50,19.09
19.40,60.40,18.97
19.50,60.50,19.09
19.50,60.40,19.08
19.50,60.50,19.09
19.50,60.50,19.09
19.50,60.50,19.09
19.40,60.40,18.97
19.40,60.40,18.97
19.40,60.40,18.97
19.40,60.40,18.97
19.40,60.40,18.97
19.50,60.40,19.08
19.40,60.30,18.97
19.40,60.30,18.97
19.40,60.40,18.97
19.40,60.30,18.97
19.40,60.30,18.97
19.40,60.30,18.97
19.40,60.30,18.97
19.40,60.10,18.96
19.40,60.10,18.96
19.40,60.10,18.96
19.40,60.10,18.96
19.40,60.10,18.96
19.40,60.20,18.97
19.40,60.10,18.96
19.40,60.10,18.96
19.40,60.10,18.96
19.40,60.00,18.96
19.40,60.00,18.96
19.40,60.10,18.96
19.30,60.00,18.85
19.40,60.00,18.96
19.40,60.00,18.96
19.40,60.00,18.96
19.40,60.00,18.96
19.30,60.00,18.85
19.30,60.00,18.85
19.30,60.00,18.85
19.30,60.00,18.85
19.30,60.00,18.85
19.30,59.90,18.85
19.30,59.90,18.85
19.30,60.00,18.85
19.30,59.90,18.85
19.30,59.90,18.85
19.30,59.90,18.85
19.30,59.90,18.85
19.30,59.80,18.85
19.30,59.90,18.85
19.30,59.90,18.85
19.30,59.80,18.85
19.30,59.80,18.85
19.30,59.80,18.85
19.40,59.80,18.96
19.40,59.80,18.96
19.40,59.70,18.95
19.40,59.70,18.95
19.40,59.70,18.95
19.40,59.60,18.95
19.40,59.50,18.95
19.40,59.50,18.95
19.40,59.60,18.95
19.40,59.50,18.95
19.40,59.50,18.95
19.40,59.60,18.95
19.40,59.50,18.95
19.40,59.50,18.95
19.50,59.50,19.06
19.40,59.50,18.95
19.50,59.40,19.06
19.40,59.40,18.95
